name,setting,seed,fold,fold_f1,fold_th
H12-3 future,"char_wb(1,3)",4,0,0.5365853658536586,0.28499999999999986
H12-3 future,"char_wb(1,3)",4,1,0.6236559139784946,0.2499999999999999
H12-3 future,"char_wb(1,3)",4,2,0.5494505494505495,0.2599999999999999
H12-3 future,"char_wb(1,3)",4,3,0.6301369863013698,0.36999999999999983
H12-3 future,"char_wb(1,3)",4,4,0.7272727272727273,0.2999999999999999
H12-4 current|future,"char_wb(1,3)",0,0,0.584070796460177,0.17999999999999994
H12-4 current|future,"char_wb(1,3)",0,1,0.6666666666666666,0.3599999999999998
H12-4 current|future,"char_wb(1,3)",0,2,0.5789473684210527,0.3099999999999999
H12-4 current|future,"char_wb(1,3)",0,3,0.5405405405405406,0.3099999999999999
H12-4 current|future,"char_wb(1,3)",0,4,0.6464646464646465,0.21999999999999992
H12-4 current|future,"char_wb(1,3)",1,0,0.627906976744186,0.2749999999999999
H12-4 current|future,"char_wb(1,3)",1,1,0.6213592233009708,0.2099999999999999
H12-4 current|future,"char_wb(1,3)",1,2,0.5714285714285714,0.31999999999999984
H12-4 current|future,"char_wb(1,3)",1,3,0.6666666666666666,0.23999999999999988
H12-4 current|future,"char_wb(1,3)",1,4,0.5974025974025974,0.33499999999999985
H12-4 current|future,"char_wb(1,3)",2,0,0.5866666666666667,0.33999999999999986
H12-4 current|future,"char_wb(1,3)",2,1,0.575,0.2699999999999999
H12-4 current|future,"char_wb(1,3)",2,2,0.647887323943662,0.34499999999999986
H12-4 current|future,"char_wb(1,3)",2,3,0.5714285714285714,0.23499999999999993
H12-4 current|future,"char_wb(1,3)",2,4,0.65,0.3049999999999999
H12-4 current|future,"char_wb(1,3)",3,0,0.5849056603773585,0.22999999999999993
H12-4 current|future,"char_wb(1,3)",3,1,0.5135135135135135,0.32999999999999985
H12-4 current|future,"char_wb(1,3)",3,2,0.6190476190476191,0.2599999999999999
H12-4 current|future,"char_wb(1,3)",3,3,0.6842105263157895,0.31499999999999984
H12-4 current|future,"char_wb(1,3)",3,4,0.5974025974025974,0.28499999999999986
H12-4 current|future,"char_wb(1,3)",4,0,0.5581395348837209,0.2549999999999999
H12-4 current|future,"char_wb(1,3)",4,1,0.6122448979591837,0.22499999999999992
H12-4 current|future,"char_wb(1,3)",4,2,0.5384615384615384,0.22999999999999993
H12-4 current|future,"char_wb(1,3)",4,3,0.6097560975609756,0.31499999999999984
H12-4 current|future,"char_wb(1,3)",4,4,0.7567567567567568,0.32999999999999985
H12-5 full|future,"char_wb(1,3)",0,0,0.5825242718446602,0.2049999999999999
H12-5 full|future,"char_wb(1,3)",0,1,0.6744186046511628,0.32999999999999985
H12-5 full|future,"char_wb(1,3)",0,2,0.5393258426966292,0.2549999999999999
H12-5 full|future,"char_wb(1,3)",0,3,0.5567010309278351,0.21999999999999992
H12-5 full|future,"char_wb(1,3)",0,4,0.6451612903225806,0.22499999999999992
H12-5 full|future,"char_wb(1,3)",1,0,0.6153846153846154,0.3099999999999999
H12-5 full|future,"char_wb(1,3)",1,1,0.6,0.2149999999999999
H12-5 full|future,"char_wb(1,3)",1,2,0.5542168674698795,0.32999999999999985
